Handle,Price,ImageSrc,Body,Vendor,Type,Tags,Color,VariantGrams,VariantInventoryTracker,VariantInventoryQty,ImageAltText,VariantImage,Style#,AVAILABLE_SIZES,SUGGESTED_PRICE,Category,Size,Weight,PieceCost,Size value,MSRP,front,back,FRONT FLAT,BACK FLAT,PRODUCT_MEASUREMENTS,DECORATION_SPEC_SHEET,barcode,Title,Hex,Style,Sorting helper,tag2
5370,5.96,https://cdnm.sanmar.com/imglib/mresjpg/5370_White_Flat_Front_2009.jpg,"<UL><LI> 5.2-ounce, 50/50 cotton/poly</LI><li>99/1 cotton/poly (Ash)</li><li>90/10 cotton/poly (Light Steel)</li><li>Made with up to 5% recycled polyester </li><LI> Taped neck and shoulders</LI><li>Tag-free label</li><LI> Set-in 1x1 rib crewneck</LI><li>Lay-flat collar</li></UL><p>Please note: This product is transitioning from tagged labels to tag-free and orders may contain a combination of both.</p>",Hanes,0,"Youth,T-Shirts",White,0.18,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/5370_White_Flat_Front_2009.jpg,5370,Youth Sizes: XS-XL,5.96,0,XS,0,3.64,1,5.28,https://cdnm.sanmar.com/imglib/mresjpg/2016/f16/5370_navy_flat_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2016/f16/5370_navy_flat_back.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2016/f16/5370_navy_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2016/f16/5370_navy_flat_back.jpg ,5370_productmeasurement.pdf,https://www.sanmar.com/p/1832/decorationSpecSheet,7.66E+11,Hanes® - Youth EcoSmart® 50/50 Cotton/Poly T-Shirt.  5370,0,5370,5370White1,
562B,14.62,https://cdnm.sanmar.com/imglib/mresjpg/2017/f4/562B_ash_model_front_032017.jpg,"<ul><li> 8-ounce, 50/50 cotton/poly NuBlend&#174; pill-resistant fleece</li><li>High-stitch density for a smooth-printing canvas</li><li>Coverseamed neck, armholes and waistband</li><li>1x1 rib knit collar, cuffs and waistband with spandex</li><LI> Ash (formerly Birch)</li></ul>",Jerzees,0,"Youth,Sweatshirts",Ash,0.44,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2017/f4/562B_ash_model_front_032017.jpg,562B,Youth Sizes: S-XL,14.62,0,S,0,9.31,2,14.62,https://cdnm.sanmar.com/imglib/mresjpg/2017/f4/562B_ash_model_front_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f4/562B_ash_model_back_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2020/f15/562B_ash_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2020/f15/562B_ash_flat_back.jpg ,562B_productmeasurement.pdf,https://www.sanmar.com/p/2738/decorationSpecSheet,42463190676,Jerzees® - Youth NuBlend® Crewneck Sweatshirt.  562B,0,562B,562BAsh2,
996Y,23.78,https://cdnm.sanmar.com/imglib/mresjpg/2021/f18/996Y_ash_model_front.jpg,"<ul><li> 8-ounce, 50/50 cotton/poly NuBlend&#174; pill-resistant fleece</li><li> High stitch density for a smooth printing surface</li><li> Two-ply hood</li><li> No drawcord at hood</li><li> 1x1 rib knit in cuffs and waistband</li><li> Front pouch pocket</li><li> Double-needle coverseamed neck, armholes and waistband </LI><LI> Ash (formerly Birch)</li><li>No drawcord at hood</li></ul>",Jerzees,0,"Youth,Sweatshirts",Ash,0.65,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2021/f18/996Y_ash_model_front.jpg,996Y,Youth Sizes: S-XL,23.78,0,S,0,13.89,2,23.78,https://cdnm.sanmar.com/imglib/mresjpg/2021/f18/996Y_forestgreen_model_front.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2021/f18/996Y_forestgreen_model_back.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2021/f18/996Y_forestgreen_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2021/f18/996Y_forestgreen_flat_back.jpg ,996Y_productmeasurement.pdf,https://www.sanmar.com/p/1522/decorationSpecSheet,42463332724,Jerzees® - Youth NuBlend® Pullover Hooded Sweatshirt.  996Y,0,996Y,996YAsh2,
29B,5.96,https://cdnm.sanmar.com/imglib/mresjpg/2014/f13/29B_white_model_front_072014.jpg,"<UL><LI> 5.4-ounce, 50/50 cotton/poly </LI><li>47/53 cotton/poly (Oxford)</li><li>Moisture-wicking</li><li>Tear-away label</li><li>Seamless 1x1 rib knit crew collar</li><LI>Double-needle coverstitching on front neck</LI><LI> Shoulder-to-shoulder taping</LI><li>Double-needle sleeves and hem</li><LI>Ash (formerly Birch)</li></UL>",Jerzees,0,"Youth,T-Shirts",White,0.2,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2014/f13/29B_white_model_front_072014.jpg,29B,Youth Sizes: XS-XL,5.96,0,XS,0,3.64,1,5.28,https://cdnm.sanmar.com/imglib/mresjpg/2014/f13/29B_vintagehthrred_model_front_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f13/29B_vintagehthrred_model_back_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f8/29B_vintagehthrred_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2014/f19/29B_vintagehthrred_flat_back_2012.jpg ,29B_productmeasurement.pdf,https://www.sanmar.com/p/2844/decorationSpecSheet,42463991037,Jerzees® - Youth Dri-Power® 50/50 Cotton/Poly T-Shirt.  29B,0,29B,29BWhite1,
PC61Y,5.82,https://cdnm.sanmar.com/imglib/mresjpg/2014/f15/PC61Y_white_model_front_072014.jpg,"A year-round essential, our best-selling t-shirt has been voted ""most popular"" by groups, teams, clubs and schools across America.<UL><LI>6.1-ounce, 100% soft spun cotton</LI><LI>98/2 cotton/poly (Ash)</LI><LI>90/10 cotton/poly (Athletic Heather)</LI></UL>",Port & Company,0,"Youth,T-Shirts",White,0.23,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2014/f15/PC61Y_white_model_front_072014.jpg,PC61Y,Youth Sizes: XS-XL,5.82,0,XS,0,3.55,1,5.1,https://cdnm.sanmar.com/imglib/mresjpg/2014/f15/PC61Y_orange_model_front_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2014/f15/PC61Y_orange_model_back_072014.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2013/f7/PC61Y_Orange_Flat_Front_2010.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2013/f7/PC61Y_Orange_Flat_Back_2010.jpg ,PC61Y_productmeasurement.pdf,https://www.sanmar.com/p/1341/decorationSpecSheet,1.91E+11,Port & Company® - Youth Essential Tee. PC61Y,0,PC61Y,PC61YWhite1,
PC55Y,5.46,https://cdnm.sanmar.com/imglib/mresjpg/2017/f7/PC55Y_ash_model_front_032017.jpg,"A reliable choice for comfort, softness and durability. <UL><LI> 5.5-ounce, 50/50 cotton/poly</LI><li>Made with up to 5% recycled polyester from plastic bottles (Except Ash and Athletic Heather)</li></UL><p>Due to the nature of 50/50 cotton/polyester neon fabrics, special care must be taken throughout the printing process.</p>",Port & Company,0,"Youth,T-Shirts",Ash,0.2,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2017/f7/PC55Y_ash_model_front_032017.jpg,PC55Y,Youth Sizes: XS-XL,5.46,0,XS,0,3.73,1,5.46,https://cdnm.sanmar.com/imglib/mresjpg/2017/f7/PC55Y_darkgreen_model_front_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2020/f13/PC55Y_darkgreen_flat_back.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2020/f13/PC55Y_darkgreen_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2020/f13/PC55Y_darkgreen_flat_back.jpg ,PC55Y_productmeasurement.pdf,https://www.sanmar.com/p/1139/decorationSpecSheet,1.91E+11,Port & Company® - Youth Core Blend Tee.  PC55Y,0,PC55Y,PC55YAsh1,
P470,23.78,https://cdnm.sanmar.com/imglib/mresjpg/2017/f7/P470_black_model_front_032017.jpg,"<ul><li> 7.8-ounce, 50/50 cotton/poly</li><li>Made with up to 5% recycled polyester from plastic bottles</li><li> PrintPro<sup>&#174;</sup> XP fleece with high-stitch density for superior embellishment</li><li>Tear-away label</li><li> Two-ply hood without drawcord </li><li>Rib knit cuffs and waistband</li><li> Front pouch pocket</li></ul><p>Please note: This product is transitioning from tag-free labels to tear-away labels. Your order may contain a combination of both.</p>",Hanes,0,"Youth,Sweatshirts",Black,0.65,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2017/f7/P470_black_model_front_032017.jpg,P470,Youth Sizes: XS-XL,23.78,0,XS,0,13.89,1,23.78,https://cdnm.sanmar.com/imglib/mresjpg/2017/f7/P470_black_model_front_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f7/P470_black_model_back_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2022/f7/P470_black_flat_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/P470_Black_Flat_Back_2009.jpg ,P470_productmeasurement.pdf,https://www.sanmar.com/p/1883/decorationSpecSheet,7.66E+11,Hanes® - Youth EcoSmart® Pullover Hooded Sweatshirt.  P470,0,P470,P470Black1,
Y500,15.98,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/Y500_black_model_front_032017.jpg,"An enduring favorite, our comfortable classic polo is anything but ordinary. With superior wrinkle and shrink resistance, a silky soft hand and an incredible range of styles, sizes and colors, it's a first-rate choice for uniforming just about any group. <UL><LI> 5-ounce, 65/35 poly/cotton pique</LI><LI> Flat knit collar and cuffs</LI><LI> 2-button placket on XS-M</LI><LI> 3-button placket on L-XL</LI><LI> Metal buttons with dyed-to-match plastic rims</LI><LI> Double-needle armhole seams and hem</LI><LI> Side vents</LI></UL>",Port Authority,0,"Youth,Polos/Knits",Black,0.28,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/Y500_black_model_front_032017.jpg,Y500,Youth Sizes: XS-XL,15.98,0,XS,0,9.99,1,15.98,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/Y500_coolgrey_model_front_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2017/f8/Y500_coolgrey_model_back_032017.jpg,https://cdnm.sanmar.com/imglib/mresjpg/Y500_CoolGrey_front_FS06.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/Y500_CoolGrey_back_FS06.jpg ,Y500_productmeasurement.pdf,https://www.sanmar.com/p/226/decorationSpecSheet,1.91E+11,Port Authority® Youth Silk Touch Polo.  Y500,0,Y500,Y500Black1,
YC833,7.58,https://cdnm.sanmar.com/imglib/mresjpg/Yc833bk03.jpg,"Breathable and comfortable, this cap has a great pro look, complete with a contrasting grey underbill.<ul><li>Fabric: 100% polyester mesh</li><li>Structure: Structured</li><li>Profile: Mid</li><li>Closure: Hook and loop</li></ul>",Port Authority,0,"Youth,Caps",Black,0.22,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/Yc833bk03.jpg,YC833, ,7.58,0,OSFA,0,4.79,3,7.58,https://cdnm.sanmar.com/imglib/mresjpg/Yc833sv03.jpg,https://cdnm.sanmar.com/imglib/mresjpg/C833_Silver_Flat_Back_2010.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/2015/f24/YC833_silver_full_front.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/C833_Silver_Flat_Back_2010.jpg ,YC833_productmeasurement.pdf,https://www.sanmar.com/p/49/decorationSpecSheet,1.91E+11,Port Authority® Youth Pro Mesh Cap.  YC833,0,YC833,YC833Black3,
993B,26.7,https://cdnm.sanmar.com/imglib/mresjpg/2016/f20/993B_black_model_front_102016.jpg,"<ul><li> 8-ounce, 50/50 cotton/poly NuBlend&#174; pill-resistant fleece</li><li>High stitch density for a smooth printing canvas</li><li> Single-ply hood</li> <li> 1x1 rib knit cuffs and waistband</li><li> Double-needle, coverseamed neck, armholes and waistband</li><li> Front pouch pockets </LI><LI> Ash (formerly Birch)</li><li> No drawcord at hood</li></ul>",Jerzees,0,"Youth,Full Zip Hoodie,Sweatshirts",Black,0.6,0,0,0,https://cdnm.sanmar.com/imglib/mresjpg/2016/f20/993B_black_model_front_102016.jpg,993B,Youth Sizes: S-XL,26.7,0,S,0,17.35,2,26.7,https://cdnm.sanmar.com/imglib/mresjpg/2016/f20/993B_black_model_front_102016.jpg,https://cdnm.sanmar.com/imglib/mresjpg/2016/f20/993B_black_model_back_102016.jpg,https://cdnm.sanmar.com/imglib/mresjpg/993B_Flat_Black_MS04.jpg ,https://cdnm.sanmar.com/imglib/mresjpg/993B_Black_Flat_Back_2009.jpg ,993B_productmeasurement.pdf,https://www.sanmar.com/p/1365/decorationSpecSheet,42463233755,Jerzees® - Youth NuBlend® Full-Zip Hooded Sweatshirt.  993B,0,993B,993BBlack2,
